Entity,Time,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct,mortgage_rate_lag1,mortgage_rate_lag2,mortgage_rate_lag3,unemployment_rate_diff_12m,permits_growth_yoy_pct,cpi_inflation_yoy_pct
REIT,2009-08-01,5.1925,616.0,9.6,215.445,94.85806451612903,59.1,5.2219999999999995,5.42,4.8575,3.5,-28.205128205128204,-1.4838355663267633
REIT,2009-09-01,5.0575,609.0,9.8,215.861,91.19866666666667,58.7,5.1925,5.2219999999999995,5.42,3.700000000000001,-23.588456712672524,-1.377942862886472
REIT,2009-10-01,4.952,583.0,10.0,216.509,81.96032258064515,58.5,5.0575,5.1925,5.2219999999999995,3.5,-20.788043478260864,-0.22396829420033848
REIT,2009-11-01,4.875,623.0,9.9,217.234,111.37866666666667,58.6,4.952,5.0575,5.1925,3.1000000000000005,-0.4792332268370614,1.9145871744709275
REIT,2009-12-01,4.93,664.0,9.9,217.347,129.59,58.3,4.875,4.952,5.0575,2.6000000000000005,19.85559566787003,2.8141231232083674
REIT,2010-01-01,5.03,636.0,9.8,217.488,156.72870967741935,58.5,4.93,4.875,4.952,2.000000000000001,16.697247706422026,2.6211113889767157
REIT,2010-02-01,4.99,650.0,9.8,217.281,151.77142857142857,58.5,5.03,4.93,4.875,1.5,16.48745519713262,2.151336357866529
REIT,2010-03-01,4.9675,687.0,9.9,217.353,110.02806451612904,58.5,4.99,5.03,4.93,1.200000000000001,33.91812865497077,2.2861714393279886
REIT,2010-04-01,5.098000000000001,637.0,9.9,217.403,87.81633333333333,58.7,4.9675,4.99,5.03,0.9000000000000004,22.26487523992322,2.2067707525304403
REIT,2010-05-01,4.8875,575.0,9.6,217.29,118.88548387096773,58.6,5.098000000000001,4.9675,4.99,0.1999999999999993,3.4172661870503607,2.003548929218568
REIT,2010-06-01,4.7375,587.0,9.4,217.199,127.63266666666667,58.5,4.8875,5.098000000000001,4.9675,-0.09999999999999964,-2.329450915141429,1.1215605940686268
REIT,2010-07-01,4.564,579.0,9.4,217.605,176.8041935483871,58.5,4.7375,4.8875,5.098000000000001,-0.09999999999999964,-2.6890756302521024,1.3407784804821077
REIT,2010-08-01,4.4275,580.0,9.5,217.923,161.46967741935484,58.6,4.564,4.7375,4.8875,-0.09999999999999964,-5.844155844155841,1.1501775395112546
REIT,2010-09-01,4.346,563.0,9.5,218.275,213.92533333333333,58.5,4.4275,4.564,4.7375,-0.3000000000000007,-7.5533661740558316,1.1183122472331775
REIT,2010-10-01,4.225,558.0,9.4,219.035,229.3158064516129,58.3,4.346,4.4275,4.564,-0.5999999999999996,-4.288164665523153,1.1666951489314625
REIT,2010-11-01,4.3,560.0,9.8,219.59,169.89633333333333,58.2,4.225,4.346,4.4275,-0.09999999999999964,-10.1123595505618,1.084544776600338
REIT,2010-12-01,4.714,632.0,9.3,220.472,157.47,58.3,4.3,4.225,4.346,-0.5999999999999996,-4.81927710843374,1.437793022217937
REIT,2011-01-01,4.755,576.0,9.1,221.187,139.74677419354836,58.3,4.714,4.3,4.225,-0.7000000000000011,-9.433962264150942,1.7007834915029774
REIT,2011-02-01,4.9525,542.0,9.0,221.898,118.35964285714286,58.4,4.755,4.714,4.3,-0.8000000000000007,-16.61538461538462,2.124898173333145
REIT,2011-03-01,4.836,583.0,9.0,223.046,140.79451612903227,58.4,4.9525,4.755,4.714,-0.9000000000000004,-15.138282387190682,2.619241510354109
REIT,2011-04-01,4.84,581.0,9.1,224.093,116.03166666666667,58.4,4.836,4.9525,4.755,-0.8000000000000007,-8.791208791208794,3.0772344447868694
REIT,2011-05-01,4.6375,618.0,9.0,224.806,93.21774193548387,58.3,4.84,4.836,4.9525,-0.5999999999999996,7.478260869565223,3.4589718808964998
REIT,2011-06-01,4.51,636.0,9.1,224.806,126.05866666666667,58.2,4.6375,4.84,4.836,-0.3000000000000007,8.347529812606469,3.5023181506360412
REIT,2011-07-01,4.545,621.0,9.0,225.395,200.15064516129033,58.2,4.51,4.6375,4.84,-0.40000000000000036,7.253886010362698,3.5798809769996165
REIT,2011-08-01,4.27,647.0,9.0,226.106,253.91870967741934,58.3,4.545,4.51,4.6375,-0.5,11.551724137931041,3.75499603070808
